"34311","174 Fighter Wing Fire Department","6001 E Molloy RD","Bldg. 644","Syracuse","NY","13211-7099","6001 E Molloy RD","Bldg. 644","","Syracuse","NY","13211-7099","315-454-6660","315-454-6504","ONONDAGA                 ","Mostly volunteer","Federal government (Department of Defense)","","1","12","0","27","0","0",
"25006","3-G Volunteer Fire Company, Inc.","Blue RD","PO Box 112","Glenfield","NY","13345","Blue RD",,"PO Box 112","Glenfield","NY","13345","315-376-2135",,"LEWIS                    ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","42","0","0","0",
"F2009","914th Fire Emergency Services","1 Fire Lane","BLDG 821","Niagara Falls ARS","NY","14304-5011","1 Fire Lane","BLDG 821","","Niagara Falls ARS","NY","14304-5011","716-236-2086","716-236-2314","NIAGARA                  ","Career","Federal government (Department of Defense)",,"1","58","0","0","5","0","Yes"
"02001","A. E. Crandall Hook & Ladder Company","4 Main ST",,"Alfred","NY","14802",,,"PO Box 582","Alfred","NY","14802-0582","607-587-8880","607-587-8880","ALLEGANY                 ","Volunteer","Local (includes career, combination, and volunteer)","https://alfredfire.org/","1","0","50","0","0","4","No"
"23002","Adams Center Fire Department","13401 North ST",,"Adams Center","NY","13606",,,"PO Box 248","Adams Center","NY","13606-0248","315-583-5533","315-583-6494","JEFFERSON                ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","10","No"
"32001","Adams Fire Company","7113 Nash RD",,"North Tonawanda","NY","14120","7113 Nash RD",,"","North Tonawanda","NY","14120-1207","716-692-3212","716-743-0599","NEW YORK                 ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","50","0","0","30","Yes"
"23001","Adams Fire Department","4 N Main ST",,"Adams","NY","13605",,,"PO Box 52","Adams","NY","13605-0052","315-232-4033","315-232-4033","JEFFERSON                ","Volunteer","Local (includes career, combination, and volunteer)","http://www.adamsfd.org/","1","0","58","0","0","0","Yes"
"51001","Addison Volunteer Fire Department","1 Tuscarora ST",,"Addison","NY","14801","1 Tuscarora ST",,"","Addison","NY","14801-1231","607-359-3500",,"STEUBEN                  ","Volunteer","Local (includes career, combination, and volunteer)",,"2","0","26","0","0","1","Yes"
"09001","Afton Fire Department","15 Spring ST",,"Afton","NY","13730","15 Spring ST",,"","Afton","NY","13730-3166","607-639-1040","607-639-1042","CHENANGO                 ","Volunteer","Local (includes career, combination, and volunteer)",,"1","0","18","0","0","0","Yes"
"15001","Akron Fire Company, Inc.","1 Main ST","","Akron","NY","14001","1 Main ST","","PO Box 1","Akron","NY","14001","716-542-9091","716-542-3828","ERIE                     ","Volunteer","Local (includes career, combination, and volunteer)","www.akronfireco.com","1","0","72","0","0","0",
